season,pausa_year,k,date,pred_day,pred_night,pred_any,obs_mm,obs_wet,obs_trace
2012-13,2012,29,2013-01-10,1,1,1,0.0,0,0
2012-13,2012,30,2013-01-11,1,1,1,0.0,0,0
2013-14,2013,1,2013-12-02,1,1,1,0.0,0,0
2013-14,2013,2,2013-12-03,1,0,1,0.0,0,0
2013-14,2013,3,2013-12-04,1,1,1,0.0,0,0
2013-14,2013,4,2013-12-05,1,1,1,0.0,0,0
2013-14,2013,5,2013-12-06,1,1,1,0.0,0,0
2013-14,2013,6,2013-12-07,1,1,1,0.0,0,0
2013-14,2013,7,2013-12-08,1,1,1,0.0,0,0
2013-14,2013,8,2013-12-09,1,1,1,0.0,0,0
2013-14,2013,9,2013-12-10,0,1,1,0.0,0,0
2013-14,2013,10,2013-12-11,1,1,1,0.0,0,0
2013-14,2013,11,2013-12-12,1,1,1,0.0,0,0
2013-14,2013,12,2013-12-13,1,1,1,0.0,0,0
2013-14,2013,13,2013-12-14,1,1,1,0.0,0,0
2013-14,2013,14,2013-12-15,0,1,1,0.0,0,0
2013-14,2013,15,2013-12-16,1,1,1,0.0,0,0
2013-14,2013,16,2013-12-17,1,1,1,0.0,0,0
2013-14,2013,17,2013-12-18,1,1,1,0.0,0,0
2013-14,2013,18,2013-12-19,1,0,1,0.0,0,0
2013-14,2013,19,2013-12-20,1,1,1,0.0,0,0
2013-14,2013,20,2013-12-21,1,1,1,0.0,0,0
2013-14,2013,21,2013-12-22,1,1,1,0.0,0,0
2013-14,2013,22,2013-12-23,1,0,1,0.0,0,0
2013-14,2013,23,2013-12-24,0,0,0,0.0,0,0
2013-14,2013,24,2013-12-25,0,0,0,0.0,0,0
2013-14,2013,25,2013-12-26,0,0,0,0.0,0,0
2013-14,2013,26,2013-12-27,0,0,0,0.0,0,0
2013-14,2013,27,2013-12-28,0,0,0,0.0,0,0
2013-14,2013,28,2013-12-29,1,1,1,0.0,0,0
2013-14,2013,29,2013-12-30,1,1,1,0.0,0,0
2013-14,2013,30,2013-12-31,0,0,0,0.0,0,0
2014-15,2014,1,2014-12-22,0,0,0,0.0,0,0
2014-15,2014,2,2014-12-23,0,0,0,0.0,0,0
2014-15,2014,3,2014-12-24,0,1,1,0.0,0,0
2014-15,2014,4,2014-12-25,1,1,1,0.0,0,0
2014-15,2014,5,2014-12-26,1,1,1,0.0,0,0
2014-15,2014,6,2014-12-27,1,1,1,0.0,0,0
2014-15,2014,7,2014-12-28,1,1,1,0.0,0,0
2014-15,2014,8,2014-12-29,1,1,1,0.0,0,0
2014-15,2014,9,2014-12-30,1,1,1,0.0,0,0
2014-15,2014,10,2014-12-31,1,1,1,0.0,0,0
2014-15,2014,11,2015-01-01,1,1,1,1.6,1,1
2014-15,2014,12,2015-01-02,1,1,1,0.0,0,0
2014-15,2014,13,2015-01-03,1,1,1,0.0,0,0
2014-15,2014,14,2015-01-04,1,1,1,0.0,0,0
2014-15,2014,15,2015-01-05,1,1,1,0.0,0,0
2014-15,2014,16,2015-01-06,1,1,1,0.0,0,0
2014-15,2014,17,2015-01-07,1,1,1,0.0,0,0
2014-15,2014,18,2015-01-08,1,1,1,0.0,0,0
2014-15,2014,19,2015-01-09,1,1,1,0.0,0,0
2014-15,2014,20,2015-01-10,1,1,1,0.0,0,0
2014-15,2014,21,2015-01-11,0,1,1,0.0,0,0
2014-15,2014,22,2015-01-12,1,0,1,0.0,0,0
2014-15,2014,23,2015-01-13,0,0,0,0.0,0,0
2014-15,2014,24,2015-01-14,0,0,0,0.0,0,0
2014-15,2014,25,2015-01-15,0,0,0,0.0,0,0
2014-15,2014,26,2015-01-16,0,0,0,0.0,0,0
2014-15,2014,27,2015-01-17,1,1,1,0.0,0,0
2014-15,2014,28,2015-01-18,1,1,1,0.0,0,0
2014-15,2014,29,2015-01-19,1,1,1,0.0,0,0
2014-15,2014,30,2015-01-20,1,1,1,0.0,0,0
2015-16,2015,1,2015-12-11,1,1,1,0.0,0,0
2015-16,2015,2,2015-12-12,1,1,1,0.0,0,0
2015-16,2015,3,2015-12-13,1,1,1,0.0,0,0
2015-16,2015,4,2015-12-14,1,1,1,0.0,0,0
2015-16,2015,5,2015-12-15,1,1,1,0.0,0,0
2015-16,2015,6,2015-12-16,1,1,1,0.0,0,0
2015-16,2015,7,2015-12-17,1,1,1,0.0,0,0
2015-16,2015,8,2015-12-18,1,0,1,0.0,0,0
2015-16,2015,9,2015-12-19,0,1,1,0.0,0,0
2015-16,2015,10,2015-12-20,1,1,1,0.0,0,0
2015-16,2015,11,2015-12-21,0,0,0,0.0,0,0
2015-16,2015,12,2015-12-22,0,0,0,0.0,0,0
2015-16,2015,13,2015-12-23,0,0,0,0.0,0,0
2015-16,2015,14,2015-12-24,0,0,0,0.0,0,0
2015-16,2015,15,2015-12-25,0,0,0,0.0,0,0
2015-16,2015,16,2015-12-26,0,0,0,0.0,0,0
2015-16,2015,17,2015-12-27,0,1,1,0.0,0,0
2015-16,2015,18,2015-12-28,1,1,1,0.0,0,0
2015-16,2015,19,2015-12-29,1,1,1,0.0,0,0
2015-16,2015,20,2015-12-30,1,1,1,0.0,0,0
2015-16,2015,21,2015-12-31,1,1,1,0.0,0,0
2015-16,2015,22,2016-01-01,0,0,0,0.0,0,0
2015-16,2015,23,2016-01-02,0,0,0,0.0,0,0
2015-16,2015,24,2016-01-03,0,0,0,0.0,0,0
2015-16,2015,25,2016-01-04,0,0,0,0.0,0,0
2015-16,2015,26,2016-01-05,0,0,0,0.0,0,0
2015-16,2015,27,2016-01-06,0,1,1,0.0,0,0
2015-16,2015,28,2016-01-07,1,1,1,0.0,0,0
2015-16,2015,29,2016-01-08,1,1,1,0.0,0,0
2015-16,2015,30,2016-01-09,1,1,1,0.0,0,0
2016-17,2016,1,2016-12-29,0,0,0,0.0,0,0
2016-17,2016,2,2016-12-30,0,0,0,0.0,0,0
2016-17,2016,3,2016-12-31,0,0,0,0.0,0,0
2016-17,2016,4,2017-01-01,0,0,0,0.0,0,0
2016-17,2016,5,2017-01-02,1,1,1,0.0,0,0
2016-17,2016,6,2017-01-03,1,1,1,0.0,0,0
2016-17,2016,7,2017-01-04,1,1,1,0.0,0,0
2016-17,2016,8,2017-01-05,1,0,1,0.0,0,0
2016-17,2016,9,2017-01-06,0,0,0,0.0,0,0
2016-17,2016,10,2017-01-07,0,0,0,0.0,0,0
2016-17,2016,11,2017-01-08,0,0,0,0.0,0,0
2016-17,2016,12,2017-01-09,0,0,0,0.0,0,0
2016-17,2016,13,2017-01-10,0,0,0,0.0,0,0
2016-17,2016,14,2017-01-11,0,0,0,0.0,0,0
2016-17,2016,15,2017-01-12,0,0,0,0.0,0,0
2016-17,2016,16,2017-01-13,0,1,1,0.0,0,0
2016-17,2016,17,2017-01-14,1,1,1,0.0,0,0
2016-17,2016,18,2017-01-15,1,1,1,0.0,0,0
2016-17,2016,19,2017-01-16,1,1,1,0.0,0,0
2016-17,2016,20,2017-01-17,1,1,1,0.0,0,0
2016-17,2016,21,2017-01-18,0,1,1,0.0,0,0
2016-17,2016,22,2017-01-19,1,1,1,0.0,0,0
2016-17,2016,23,2017-01-20,1,1,1,0.0,0,0
2016-17,2016,24,2017-01-21,1,1,1,0.0,0,0
2016-17,2016,25,2017-01-22,0,0,0,0.0,0,0
2016-17,2016,26,2017-01-23,0,1,1,0.0,0,0
2016-17,2016,27,2017-01-24,1,1,1,0.0,0,0
2016-17,2016,28,2017-01-25,1,1,1,0.0,0,0
2016-17,2016,29,2017-01-26,1,1,1,1.1,1,1
2016-17,2016,30,2017-01-27,1,1,1,0.0,0,0
2017-18,2017,1,2017-12-18,0,0,0,0.0,0,0
2017-18,2017,2,2017-12-19,0,0,0,0.0,0,0
2017-18,2017,3,2017-12-20,0,0,0,0.0,0,0
2017-18,2017,4,2017-12-21,0,0,0,0.0,0,0
2017-18,2017,5,2017-12-22,0,0,0,0.0,0,0
2017-18,2017,6,2017-12-23,0,0,0,0.0,0,0
2017-18,2017,7,2017-12-24,0,0,0,0.0,0,0
2017-18,2017,8,2017-12-25,0,0,0,0.0,0,0
2017-18,2017,9,2017-12-26,0,0,0,0.0,0,0
2017-18,2017,10,2017-12-27,0,0,0,0.0,0,0
2017-18,2017,11,2017-12-28,0,0,0,0.0,0,0
2017-18,2017,12,2017-12-29,0,0,0,0.0,0,0
2017-18,2017,13,2017-12-30,0,0,0,0.0,0,0
2017-18,2017,14,2017-12-31,0,0,0,0.0,0,0
2017-18,2017,15,2018-01-01,0,0,0,0.0,0,0
2017-18,2017,16,2018-01-02,0,0,0,0.0,0,0
2017-18,2017,17,2018-01-03,0,0,0,0.0,0,0
2017-18,2017,18,2018-01-04,0,1,1,0.0,0,0
2017-18,2017,19,2018-01-05,0,0,0,0.0,0,0
2017-18,2017,20,2018-01-06,0,0,0,0.0,0,0
2017-18,2017,21,2018-01-07,0,0,0,0.0,0,0
2017-18,2017,22,2018-01-08,0,0,0,0.0,0,0
2017-18,2017,23,2018-01-09,0,0,0,0.0,0,0
2017-18,2017,24,2018-01-10,0,0,0,0.0,0,0
2017-18,2017,25,2018-01-11,0,0,0,0.0,0,0
2017-18,2017,26,2018-01-12,0,0,0,0.0,0,0
2017-18,2017,27,2018-01-13,0,0,0,0.0,0,0
2017-18,2017,28,2018-01-14,0,0,0,0.0,0,0
2017-18,2017,29,2018-01-15,0,0,0,0.0,0,0
2017-18,2017,30,2018-01-16,0,1,1,0.0,0,0
2018-19,2018,1,2018-12-07,0,0,0,0.0,0,0
2018-19,2018,2,2018-12-08,0,0,0,0.0,0,0
2018-19,2018,3,2018-12-09,0,0,0,0.0,0,0
2018-19,2018,4,2018-12-10,0,0,0,0.0,0,0
2018-19,2018,5,2018-12-11,0,0,0,0.0,0,0
2018-19,2018,6,2018-12-12,1,1,1,0.0,0,0
2018-19,2018,7,2018-12-13,1,1,1,0.0,0,0
2018-19,2018,8,2018-12-14,0,0,0,0.0,0,0
2018-19,2018,9,2018-12-15,0,0,0,0.0,0,0
2018-19,2018,10,2018-12-16,0,0,0,0.0,0,0
2018-19,2018,11,2018-12-17,0,0,0,0.0,0,0
2018-19,2018,12,2018-12-18,0,0,0,0.0,0,0
2018-19,2018,13,2018-12-19,0,0,0,0.0,0,0
2018-19,2018,14,2018-12-20,0,0,0,0.0,0,0
2018-19,2018,15,2018-12-21,0,1,1,0.0,0,0
2018-19,2018,16,2018-12-22,0,1,1,0.0,0,0
2018-19,2018,17,2018-12-23,1,1,1,0.0,0,0
2018-19,2018,18,2018-12-24,1,1,1,0.0,0,0
2018-19,2018,19,2018-12-25,1,1,1,0.0,0,0
2018-19,2018,20,2018-12-26,1,1,1,0.0,0,0
2018-19,2018,21,2018-12-27,0,1,1,0.0,0,0
2018-19,2018,22,2018-12-28,1,0,1,0.0,0,0
2018-19,2018,23,2018-12-29,0,0,0,0.0,0,0
2018-19,2018,24,2018-12-30,0,0,0,0.0,0,0
2018-19,2018,25,2018-12-31,0,0,0,0.0,0,0
2018-19,2018,26,2019-01-01,0,0,0,0.0,0,0
2018-19,2018,27,2019-01-02,1,1,1,0.0,0,0
2018-19,2018,28,2019-01-03,0,1,1,0.0,0,0
2018-19,2018,29,2019-01-04,1,1,1,0.0,0,0
2018-19,2018,30,2019-01-05,1,1,1,0.0,0,0
2019-20,2019,1,2019-12-26,0,0,0,0.0,0,0
2019-20,2019,2,2019-12-27,0,0,0,0.0,0,0
2019-20,2019,3,2019-12-28,0,0,0,0.0,0,0
2019-20,2019,4,2019-12-29,0,0,0,0.0,0,0
2019-20,2019,5,2019-12-30,0,0,0,0.0,0,0
2019-20,2019,6,2019-12-31,1,1,1,0.0,0,0
2019-20,2019,7,2020-01-01,1,1,1,0.0,0,0
2019-20,2019,8,2020-01-02,1,1,1,0.0,0,0
2019-20,2019,9,2020-01-03,1,1,1,0.0,0,0
2019-20,2019,10,2020-01-04,0,0,0,0.0,0,0
2019-20,2019,11,2020-01-05,0,0,0,0.0,0,0
2019-20,2019,12,2020-01-06,0,0,0,0.0,0,0
2019-20,2019,13,2020-01-07,0,0,0,0.0,0,0
2019-20,2019,14,2020-01-08,0,0,0,0.0,0,0
2019-20,2019,15,2020-01-09,0,0,0,0.0,0,0
2019-20,2019,16,2020-01-10,0,0,0,0.0,0,0
2019-20,2019,17,2020-01-11,0,0,0,0.0,0,0
2019-20,2019,18,2020-01-12,0,1,1,0.0,0,0
2019-20,2019,19,2020-01-13,1,1,1,0.1,0,1
2019-20,2019,20,2020-01-14,1,0,1,0.0,0,0
2019-20,2019,21,2020-01-15,0,0,0,0.0,0,0
2019-20,2019,22,2020-01-16,0,0,0,0.0,0,0
2019-20,2019,23,2020-01-17,0,0,0,0.0,0,0
2019-20,2019,24,2020-01-18,0,0,0,0.0,0,0
2019-20,2019,25,2020-01-19,0,0,0,0.0,0,0
2019-20,2019,26,2020-01-20,0,0,0,0.0,0,0
2019-20,2019,27,2020-01-21,0,0,0,0.0,0,0
2019-20,2019,28,2020-01-22,0,0,0,0.0,0,0
2019-20,2019,29,2020-01-23,0,0,0,0.0,0,0
2019-20,2019,30,2020-01-24,0,1,1,0.0,0,0
2020-21,2020,1,2020-12-14,0,0,0,0.0,0,0
2020-21,2020,2,2020-12-15,0,0,0,0.0,0,0
2020-21,2020,3,2020-12-16,0,0,0,0.0,0,0
2020-21,2020,4,2020-12-17,0,0,0,0.0,0,0
2020-21,2020,5,2020-12-18,1,0,1,0.0,0,0
2020-21,2020,6,2020-12-19,0,0,0,0.0,0,0
2020-21,2020,7,2020-12-20,0,1,1,0.0,0,0
2020-21,2020,8,2020-12-21,1,1,1,0.0,0,0
2020-21,2020,9,2020-12-22,1,1,1,0.0,0,0
2020-21,2020,10,2020-12-23,0,0,0,0.0,0,0
2020-21,2020,11,2020-12-24,1,1,1,0.0,0,0
2020-21,2020,12,2020-12-25,1,1,1,0.0,0,0
2020-21,2020,13,2020-12-26,1,0,1,0.0,0,0
2020-21,2020,14,2020-12-27,0,0,0,0.0,0,0
2020-21,2020,15,2020-12-28,0,0,0,0.0,0,0
2020-21,2020,16,2020-12-29,0,1,1,0.0,0,0
2020-21,2020,17,2020-12-30,1,1,1,0.0,0,0
2020-21,2020,18,2020-12-31,1,1,1,0.0,0,0
2020-21,2020,19,2021-01-01,1,1,1,0.0,0,0
2020-21,2020,20,2021-01-02,1,1,1,0.0,0,0
2020-21,2020,21,2021-01-03,1,1,1,0.0,0,0
2020-21,2020,22,2021-01-04,0,0,0,0.2,0,1
2020-21,2020,23,2021-01-05,1,1,1,0.0,0,0
2020-21,2020,24,2021-01-06,1,0,1,0.0,0,0
2020-21,2020,25,2021-01-07,0,0,0,0.0,0,0
2020-21,2020,26,2021-01-08,0,0,0,0.0,0,0
2020-21,2020,27,2021-01-09,0,0,0,0.0,0,0
2020-21,2020,28,2021-01-10,0,0,0,0.0,0,0
2020-21,2020,29,2021-01-11,0,1,1,0.0,0,0
2020-21,2020,30,2021-01-12,1,1,1,0.0,0,0
